ImageName,Mode,Channel,Mean(x),Mean(y),VAR(X),VAR(Y),"COV(X, Y)","Correlation(X,Y)"
02_Baboon_en.bmp,DD,R channel,127.71,127.70,5436.91,5436.08,3.71,0.000683
02_Baboon_en.bmp,DD,G channel,127.73,127.74,5461.70,5462.02,-4.26,-0.000780
02_Baboon_en.bmp,DD,B channel,127.58,127.58,5467.40,5467.13,-0.29,-0.000052
03_Lena_en.bmp,HD,R channel,127.47,127.48,5467.70,5467.65,-5.85,-0.001070
03_Lena_en.bmp,HD,G channel,127.18,127.16,5457.55,5456.89,-8.24,-0.001509
03_Lena_en.bmp,HD,B channel,127.46,127.44,5468.84,5469.44,1.47,0.000269
03_Lena_en.bmp,VD,R channel,127.47,127.47,5467.57,5468.26,-4.75,-0.000869
03_Lena_en.bmp,VD,G channel,127.17,127.17,5457.20,5457.41,13.90,0.002547
03_Lena_en.bmp,VD,B channel,127.45,127.45,5470.36,5469.01,-3.43,-0.000627
03_Lena_en.bmp,DD,R channel,127.47,127.48,5467.88,5468.46,12.11,0.002214
03_Lena_en.bmp,DD,G channel,127.17,127.15,5457.58,5457.18,-8.42,-0.001543
03_Lena_en.bmp,DD,B channel,127.47,127.44,5469.34,5468.57,-5.82,-0.001065
04_Peppers_en.bmp,HD,R channel,127.48,127.48,5455.49,5455.21,1.30,0.000238
04_Peppers_en.bmp,HD,G channel,127.69,127.70,5455.41,5456.17,-1.80,-0.000331
04_Peppers_en.bmp,HD,B channel,127.55,127.55,5461.92,5461.08,18.71,0.003426
04_Peppers_en.bmp,VD,R channel,127.47,127.47,5455.86,5455.30,-5.81,-0.001065
04_Peppers_en.bmp,VD,G channel,127.69,127.70,5456.04,5456.57,23.57,0.004320
04_Peppers_en.bmp,VD,B channel,127.55,127.54,5459.90,5460.97,3.49,0.000640
04_Peppers_en.bmp,DD,R channel,127.48,127.48,5455.39,5454.57,-8.13,-0.001490
04_Peppers_en.bmp,DD,G channel,127.70,127.70,5455.50,5456.81,-4.63,-0.000848
04_Peppers_en.bmp,DD,B channel,127.55,127.54,5460.44,5460.70,-4.29,-0.000785
05_Sailboat_en.bmp,HD,R channel,127.43,127.43,5469.32,5469.03,-3.30,-0.000604
05_Sailboat_en.bmp,HD,G channel,127.55,127.56,5458.82,5459.39,3.81,0.000698
